,AST,BLK,BLKA,CFID,CFPARAMS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_RESULT,GP,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,SEASON_MONTH_NAME,SEASON_SEGMENT,SEASON_YEAR,STL,TEAM_DAYS_REST_RANGE,TEAM_GAME_LOCATION,TOV,W,W_PCT
0,-96.25305,-120.56961,120.56961,155,2015-16,-216.82266,-672.75816,-296.86467,-0.033,405.276,72.94968,-0.016,-84.09477,-35.46165,0.014,,82,Overall,2015-16,40,3966.0,87.13434,51.67269,-51.67269,-186.42696,-186.42696,-129.68832,,,2015-16,149.95212,,,-240.12603,42,0.512
0,-28.36932,-36.47484,36.47484,153,Home,-95.23986,-351.57693,-134.75427,-0.008,177.30825,45.59355,-0.01,41.54079,58.76502,0.024,,41,Location,Home,15,1993.0,48.63312,-35.46165,35.46165,15.19785,15.19785,-46.60674,,,,77.00244,,Home,-150.96531,26,0.634
1,-67.88373,-84.09477,84.09477,153,Road,-121.5828,-321.18123,-162.1104,-0.059,227.96775,27.35613,-0.022,-125.63556,-94.22667,0.002,,41,Location,Road,25,1973.0,38.50122,87.13434,-87.13434,-201.62481,-201.62481,-83.08158,,,,72.94968,,Road,-89.16072,16,0.39
0,97.26624,-15.19785,15.19785,157,Wins,8.10552,-335.36589,-84.09477,0.033,165.14997,188.45334,0.033,11.14509,84.09477,0.069,Wins,42,Wins/Losses,Wins,0,2031.0,-11.14509,-7.09233,7.09233,376.90668,376.90668,-3.03957,,,,101.319,,,-187.44015,42,1.0
1,-193.51929,-105.37176,105.37176,157,Losses,-224.92818,-337.39227,-212.7699,-0.1,240.12603,-115.50366,-0.067,-95.23986,-119.55642,-0.046,Losses,40,Wins/Losses,Losses,40,1935.0,98.27943,58.76502,-58.76502,-563.33364,-563.33364,-126.64875,,,,48.63312,,,-52.68588,0,0.0
0,-6.07914,1.01319,-1.01319,154,October,-15.19785,-17.22423,-10.1319,-0.062,3.03957,-12.15828,-0.055,20.2638,23.30337,0.12,,3,Month,October,1,144.0,4.05276,-7.09233,7.09233,-11.14509,-11.14509,-11.14509,October,,,9.11871,,,-12.15828,2,0.667
1,-8.10552,-42.55398,42.55398,154,November,-53.69907,-133.74108,-58.76502,-0.04,85.10796,5.06595,-0.027,-33.43527,0.0,0.067,,15,Month,November,7,720.0,15.19785,7.09233,-7.09233,-48.63312,-48.63312,-38.50122,November,,,18.23742,,,-50.6595,8,0.533
2,-6.07914,-8.10552,8.10552,154,December,-23.30337,-174.26868,-78.01563,-0.055,41.54079,18.23742,0.0,-9.11871,0.0,0.018,,16,Month,December,8,773.0,-1.01319,1.01319,-1.01319,-41.54079,-41.54079,-24.31656,December,,,20.2638,,,-49.64631,8,0.5
3,19.25061,8.10552,-8.10552,154,January,-32.42208,-80.04201,-16.21104,0.042,33.43527,19.25061,0.004,25.32975,0.0,-0.053,,14,Month,January,4,682.0,-6.07914,-4.05276,4.05276,22.29018,22.29018,-38.50122,January,,,37.48803,,,-52.68588,10,0.714
4,17.22423,6.07914,-6.07914,154,February,19.25061,-82.06839,-33.43527,-0.014,-3.03957,42.55398,0.049,-11.14509,-1.01319,0.026,,11,Month,February,4,538.0,-43.56717,13.17147,-13.17147,50.6595,50.6595,-24.31656,February,,,23.30337,,,-28.36932,7,0.636
5,-78.01563,-50.6595,50.6595,154,March,-81.0552,-108.41133,-61.80459,-0.071,157.04445,-3.03957,-0.055,-50.6595,-31.40889,0.016,,16,Month,March,10,773.0,88.14753,19.25061,-19.25061,-99.29262,-99.29262,7.09233,March,,,29.38251,,,-30.3957,6,0.375
6,-34.44846,-34.44846,34.44846,154,April,-30.3957,-77.00244,-38.50122,-0.056,88.14753,3.03957,-0.061,-25.32975,-26.34294,-0.04,,7,Month,April,6,336.0,30.3957,22.29018,-22.29018,-58.76502,-58.76502,0.0,April,,,12.15828,,,-16.21104,1,0.143
0,7.09233,-41.54079,41.54079,156,Pre All-Star,-96.25305,-453.90912,-181.36101,-0.019,154.00488,57.75183,-0.003,-11.14509,17.22423,0.019,,53,Pre/Post All-Star,Pre All-Star,22,2569.0,-12.15828,9.11871,-9.11871,-48.63312,-48.63312,-108.41133,,Pre All-Star,,91.1871,,,-169.20273,31,0.585
1,-103.34538,-79.02882,79.02882,156,Post All-Star,-120.56961,-218.84904,-115.50366,-0.057,251.27112,15.19785,-0.041,-72.94968,-52.68588,0.004,,29,Pre/Post All-Star,Post All-Star,18,1397.0,99.29262,42.55398,-42.55398,-137.79384,-137.79384,-21.27699,,Post All-Star,,58.76502,,,-70.9233,11,0.379
0,1.01319,-22.29018,22.29018,152,0 Days Rest,-23.30337,-201.62481,-70.9233,-0.011,69.91011,40.5276,0.006,-34.44846,0.0,0.061,,18,Days Rest,0 Days Rest,9,869.0,6.07914,31.40889,-31.40889,10.1319,10.1319,-17.22423,,,,42.55398,0 Days Rest,,-40.5276,9,0.5
1,-92.20029,-71.93649,71.93649,152,1 Days Rest,-132.72789,-357.65607,-178.32144,-0.047,213.78309,-16.21104,-0.028,8.10552,28.36932,0.018,,48,Days Rest,1 Days Rest,24,2324.0,83.08158,6.07914,-6.07914,-182.3742,-182.3742,-49.64631,,,,67.88373,1 Days Rest,,-127.66194,24,0.5
2,4.05276,-17.22423,17.22423,152,2 Days Rest,-39.51441,-69.91011,-26.34294,-0.007,103.34538,38.50122,-0.01,-46.60674,-52.68588,-0.062,,11,Days Rest,2 Days Rest,5,528.0,11.14509,20.2638,-20.2638,-2.02638,-2.02638,-28.36932,,,,17.22423,2 Days Rest,,-39.51441,6,0.545
3,13.17147,-9.11871,9.11871,152,3 Days Rest,-8.10552,-25.32975,-6.07914,0.023,13.17147,13.17147,0.033,-13.17147,-7.09233,0.032,,3,Days Rest,3 Days Rest,1,149.0,-12.15828,2.02638,-2.02638,13.17147,13.17147,-20.2638,,,,15.19785,3 Days Rest,,-21.27699,2,0.667
4,-14.18466,1.01319,-1.01319,152,4 Days Rest,-13.17147,-13.17147,-11.14509,-0.323,-2.02638,-12.15828,-0.134,5.06595,5.06595,0.08,,1,Days Rest,4 Days Rest,1,48.0,-1.01319,-7.09233,7.09233,-30.3957,-30.3957,-14.18466,,,,1.01319,4 Days Rest,,-3.03957,0,0.0
5,-8.10552,-1.01319,1.01319,152,6+ Days Rest,0.0,-5.06595,-4.05276,-0.09,7.09233,9.11871,0.074,-3.03957,-9.11871,-0.214,,1,Days Rest,6+ Days Rest,0,48.0,0.0,-1.01319,1.01319,5.06595,5.06595,0.0,,,,6.07914,6+ Days Rest,,-8.10552,1,1.0
